,Departamento,Municipality,Grid,MPIO_CCNCT,Coca Cultivation Area,Base Coca,Total Erradication,Predicted
25176,CAQUETÁ,SOLANO,122_65_3_8,18756,0.81,0.0,479.3,1.203300039768219
73204,NORTE DE SANTANDER,ÁBREGO,28_65_1_4,54003,3.4472923,4772.0,0.0,2.656834419071674
78905,PUTUMAYO,PUERTO GUZMÁN,121_55_2_6,86571,1.8,0.0,1723.22,1.4336999654769897
48884,MAGDALENA,SANTA MARTA,3_99_3_25,47001,30.60598989,764059.0,3324.03,25.942497391700744
38298,CÓRDOBA,TIERRALTA,25_94_1_7,23807,1.208069812956,745593.0,1026.155,10.245498906373978
1006,ANTIOQUIA,ANORÍ,33_26_1_23,5040,1.92,0.0,2161.62,2.6355599908530714
73556,PUTUMAYO,ORITO,120_54_2_12,86320,72.01039488142,4763362.0,77123.648,71.85640182495118
57297,META,VISTAHERMOSA,96_12_4_4,50711,45.81,116856.0,25609.32,29.788268599510193
36610,CÓRDOBA,SAN JOSÉ DE URÉ,25_90_3_7,23682,28.79204956518,298874.0,0.0,3.8537305879592894
64285,NARIÑO,SAMANIEGO,105_75_3_19,52678,94.99552358209999,1399180.0,502.8312,91.3355997467041
30907,CAUCA,TIMBIQUÍ,91_17_2_11,19809,5.0759,0.0,10971.1,5.811749024391174
67173,NARIÑO,SANTA BÁRBARA,91_63_3_11,52696,36.8726920924,14368.0,6726.21,28.83614641189575
59023,NARIÑO,BARBACOAS,105_62_2_9,52079,8.591625923708,1447067.0,35665.76,11.836472263336182
25831,CAQUETÁ,VALPARAÍSO,121_18_4_22,18860,1.71,0.0,461.8,0.8100000023841858
56168,META,URIBE,95_25_2_11,50370,1.53,0.0,0.0,1.4478299802541732
85403,VALLE DEL CAUCA,BUENAVENTURA,78_85_2_23,76109,7.22162352008,651706.0,190.334,9.360319375991821
74872,PUTUMAYO,PUERTO ASÍS,120_70_2_23,86568,38.925998754792,9758250.0,26383.7008,21.783800659179686
3413,ANTIOQUIA,EL BAGRE,33_10_2_2,5250,32.24365847974,1802602.0,6138.035,27.982159605026244
12031,BOLÍVAR,MORALES,27_27_2_11,13473,1.8164422999999998,0.0,296.52,1.5812886798381804
65868,NARIÑO,SAN ANDRÉS DE TUMACO,104_67_3_11,52835,337.0509467717,22717839.0,173047.86,321.969429397583
55174,META,PUERTO RICO,96_39_4_9,50590,4.42311907,848410.0,12105.650000000001,7.612838104963303
10901,BOLÍVAR,CANTAGALLO,34_45_2_19,13160,3.7800000000000002,0.0,5492.39,7.229750804901123
11423,BOLÍVAR,MONTECRISTO,27_41_2_5,13458,3.408623732865,249906.0,540.1659999999999,7.4958103036880495
21378,CAQUETÁ,MILÁN,122_14_3_3,18460,8.07670424264,191091.0,532.88,12.33461905002594
46529,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_49_2_18,95001,8.65,0.0,33505.13,9.734199697971343
7415,ANTIOQUIA,YARUMAL,33_51_4_5,5887,1.44,0.0,0.0,1.417200037240982
40952,GUAVIARE,EL RETORNO,97_72_4_2,95025,5.2,0.0,15850.64,5.293020675778389
2852,ANTIOQUIA,EL BAGRE,26_70_1_15,5250,10.624290210867999,1802368.0,5617.66,21.232270193099975
76436,PUTUMAYO,PUERTO ASÍS,121_85_3_7,86568,28.69814380348,8694325.0,50247.4838,59.79504684448242
81387,PUTUMAYO,PUERTO LEGUÍZAMO,134_72_3_7,86573,2.0700000000000003,0.0,2269.4800000000005,8.181683868169785
9664,ARAUCA,SARAVENA,37_52_4_1,81736,1.26,0.0,822.2,1.7953999942541123
45972,GUAVIARE,SAN JOSÉ DEL GUAVIARE,97_39_3_17,95001,3.64,0.0,31230.93,8.530900075435639
31028,CAUCA,TIMBIQUÍ,91_26_3_24,19809,4.2381,3650.0,7270.34,3.1337790417671205
73181,NORTE DE SANTANDER,ÁBREGO,28_28_2_9,54003,1.91761363636,143700.0,0.0,1.6841043317317963
71994,NORTE DE SANTANDER,TIBÚ,21_70_3_12,54810,54.95926270087,23977288.0,35478.34,68.70043292999267
6215,ANTIOQUIA,TARAZÁ,32_9_4_21,5790,6.1691479000000005,1944459.0,17437.62,34.72493228912354
